bane,faktor,fro
2,100,15030
5,80,7010
11,70,7020
9,80,20
6,90,15030
2,90,7010
1,90,7010
11,60,10
11,20,7010
8,70,15010
11,40,10
5,90,10
7,90,15030
11,50,10
5,100,15030
9,100,8020
2,90,7030
4,90,8030
10,80,30
10,70,10
3,100,7030
0,70,30
5,80,8020
1,80,15030
8,90,15030
5,100,10
11,90,7010
9,100,15010
8,90,7030
3,90,30
5,80,15030
8,80,8010
6,90,8030
8,60,7030
3,100,10
8,80,7030
10,90,7010
11,100,15010
11,60,7010
0,90,15010
5,80,10
5,80,7020
4,100,15030
2,90,15030
2,100,15020
5,90,8020
11,50,20
3,80,8010
0,80,7030
6,90,7020
1,100,8030
8,100,8010
11,90,7030
9,100,15030
11,90,20
0,100,7030
3,90,15030
1,90,15030
8,100,10
0,90,15020
5,100,20
9,60,8030
10,90,10
8,50,8010
6,100,8010
5,100,8010
8,70,8010
3,90,20
9,100,7030
8,90,15010
9,100,7020
4,80,15010
8,50,10
11,90,30
1,70,30
5,70,7030
4,100,8030
3,90,7030
1,100,8020
3,80,10
5,80,30
11,50,7020
5,90,30
11,100,7010
4,100,30
8,60,10
0,90,8010
3,90,8030
6,100,7020
1,80,15010
1,90,30
8,100,7030
1,100,15010
11,70,15020
9,100,20
11,100,8010
6,70,8010
11,90,15030
1,100,15030
10,100,15030
5,100,15020
3,100,7010
2,90,8010
10,80,15010
9,70,8030
11,80,15020
2,80,10
5,100,7020
3,90,15010
10,80,8030
2,90,10
3,100,15030
9,100,8010
9,90,7020
2,100,30
3,80,8030
7,100,7030
6,70,15010
0,100,15030
7,100,15030
3,90,7010
11,80,7030
1,100,8010
5,90,7010
6,80,7010
10,90,8010
5,70,30
0,100,8030
3,70,15030
2,80,15030
7,80,15010
5,90,15010
6,80,20
6,80,7020
4,90,10
7,70,8010
10,100,8010
3,80,30
11,80,8010
11,70,30
7,90,7030
2,100,7030
5,70,8010
3,80,7030
4,100,7020
10,90,15020
6,100,10
11,30,10
10,100,7010
8,70,10
2,100,8030
6,90,7030
3,80,7010
1,90,15010
6,90,15010
11,100,7020
6,100,7010
0,80,8010
8,50,7030
8,90,7010
6,70,7030
6,100,15030
6,80,8030
7,70,7030
7,100,10
1,80,7010
2,90,8030
9,90,7030
1,100,10
10,80,7030
5,100,30
2,70,30
4,100,20
4,80,7030
5,100,8030
5,100,8020
4,90,7030
6,90,20
10,90,15030
2,90,30
11,100,20
11,100,7030
10,80,7020
9,100,8030
1,80,8030
3,100,8030
2,80,15010
8,100,15030
3,100,15010
10,100,20
6,100,30
8,80,15010
5,80,15010
11,80,30
1,100,7010
8,90,10
4,80,8030
10,100,10
4,100,10
0,80,8030
7,80,7030
6,90,10
11,100,30
5,100,7010
11,80,10
11,80,15030
11,80,8030
10,90,7030
11,70,15030
10,100,8030
9,90,15010
8,100,8030
0,90,10
10,90,30
6,70,30
6,80,8010
10,100,15020
5,80,7030
8,100,7020
0,90,30
1,100,30
10,90,8030
0,100,10
5,80,8010
1,80,10
4,80,30
0,100,8010
6,90,15020
6,100,20
11,90,15020
2,90,15010
11,90,15010
1,80,7030
11,90,10
10,80,15030
11,40,7010
10,100,7030
1,80,8010
11,90,8020
9,90,20
10,90,15010
4,90,15010
6,90,30
3,100,15020
5,90,15030
8,80,8030
11,70,7010
7,100,20
11,90,7020
7,70,15010
2,80,8030
4,90,8010
11,100,8030
0,100,15010
8,60,15010
2,80,8010
5,90,8030
11,90,8010
6,80,10
9,80,15030
6,90,7010
4,90,30
5,100,7030
4,70,30
8,100,7010
7,90,8030
6,80,7030
6,100,8030
3,80,15030
4,80,7010
7,100,8010
8,100,30
11,70,8030
5,90,7020
3,90,10
9,90,30
5,80,8030
9,90,8010
5,90,8010
0,80,30
9,80,8030
4,100,15010
0,100,30
4,100,8010
4,90,7010
10,100,8020
1,90,8030
2,90,8020
7,100,15010
7,90,30
11,70,20
7,100,8030
6,80,15030
2,100,8010
4,100,15020
0,80,15010
11,100,10
0,90,7010
0,90,15030
4,90,15020
9,90,15030
1,80,30
6,80,30
10,70,15030
8,80,15030
0,90,7030
1,100,7030
2,100,15010
7,90,8010
8,70,7030
5,70,15010
4,80,15030
8,100,20
5,90,7030
11,30,7010
10,80,10
0,80,7010
4,100,7010
3,70,30
3,100,8010
0,100,8020
10,100,7020
8,60,8010
2,100,20
11,60,7020
8,90,7020
10,100,30
2,80,30
8,90,30
11,80,7010
11,90,8030
2,100,7010
4,90,15030
7,100,30
7,80,8010
4,80,8010
1,100,20
3,100,30
1,100,15020
4,80,10
3,90,8010
10,80,8010
1,90,10
8,90,20
0,100,7010
11,100,15030
1,90,8010
9,70,15030
8,90,8010
11,80,7020
6,90,8010
10,80,20
5,90,20
8,50,7010
11,100,8020
9,100,30
9,80,15010
11,80,15010
11,80,20
7,90,15010
10,90,20
0,100,15020
6,100,15010
2,100,10
11,50,7010
8,40,7030
5,100,15010
10,80,7010
8,100,15010
11,40,7020
3,100,20
6,100,7030
11,100,15020
11,70,10
1,90,7030
8,60,7010
8,50,15010
4,100,7030
9,80,7030
2,80,7030
10,100,15010
6,80,15010
3,80,15010
10,90,7020
7,100,7010
8,90,8030
3,100,7020
0,90,8030
8,70,7010
9,100,7010
6,100,8020
9,90,8030